ID Reserva,Fecha,Salón,Turno,Cliente,Temática,Importe Total,Servicios
7,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
8,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
9,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
10,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
11,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
12,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
13,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
14,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
15,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
16,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
17,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
18,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
19,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
20,2025-12-24,Principal,2,Esteban Ciro,PRUEBAPRUEBA,135000.00,"Sonido, Mesa dulce"
21,2025-12-15,Salón Alegría,1,Esteban Ciro,,500000.00,"Sonido, Mesa dulce"
22,2025-12-15,Salón Alegría,1,Esteban Ciro,Fulbito,500000.00,"Sonido, Mesa dulce"
1,2025-10-08,Principal,1,Alberto López,Plim plim,200000.00,"Sonido, Mesa dulce, Tarjetas de invitación, Mozos"
2,2025-10-08,Secundario,1,Alberto López,Messi,100000.00,"Sonido, Mesa dulce"
3,2025-10-08,Secundario,1,Pamela Gómez,Palermo,500000.00,"Sonido, Mesa dulce, Tarjetas de invitación, Mozos"
